title,price,source
A Light in the Attic,£51.77,books
Tipping the Velvet,£53.74,books
Soumission,£50.10,books
Sharp Objects,£47.82,books
Sapiens: A Brief History of Humankind,£54.23,books
The Requiem Red,£22.65,books
The Dirty Little Secrets of Getting Your Dream Job,£33.34,books
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,books
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,books
The Black Maria,£52.15,books
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,books
Shakespeare's Sonnets,£20.66,books
Set Me Free,£17.46,books
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,books
Rip it Up and Start Again,£35.02,books
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,books
Olio,£23.88,books
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,books
Libertarianism for Beginners,£51.33,books
It's Only the Himalayas,£45.17,books
In Her Wake,£12.84,books
How Music Works,£37.32,books
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,books
Chase Me (Paris Nights #2),£25.27,books
Black Dust,£34.53,books
Birdsong: A Story in Pictures,£54.64,books
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,books
Aladdin and His Wonderful Lamp,£53.13,books
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,books
Wall and Piece,£44.18,books
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,books
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,books
The Elephant Tree,£23.82,books
The Bear and the Piano,£36.89,books
Sophie's World,£15.94,books
Penny Maybe,£33.29,books
Maude (1883-1993):She Grew Up with the country,£18.02,books
"In a Dark, Dark Wood",£19.63,books
Behind Closed Doors,£52.22,books
You can't bury them all: Poems,£33.63,books
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,quotes
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,quotes
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,quotes
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,quotes
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,quotes
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,quotes
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,quotes
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,quotes
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,quotes
"“A day without sunshine is like, you know, night.”",Steve Martin,quotes
